country,year,A005,A104,E040,A030,A165,G007_18_B,G007_33_B,G007_34_B,G007_35_B,G007_36_B,D078,D059,C001,E233,F199,A124_02,A124_06,A105,E124,E069_40,C002,A040,A098,E069_01,F028,F028B,F034,F050,F063,F203,F202,E220
AND,2005,3.9981011000662883,0.656926638298264,2.602693200855424,3.0029500103994495,1.007265882948838,2.333283829853327,3.5145886374387425,1.4823540018999775,2.8441830103748873,2.9932345935251474,3.7350746102997,3.5436768488571295,4.638302766508041,4.788647927508425,4.907828731040377,4.868918759021614,4.878315182936359,0.8767131189375553,2.980780793993991,2.6482806220157924,3.085267040920699,0.34366458990302506,1.1754841855748275,1.4179731967409501,0.9908473054216336,,3.3490173191821104,,2.4855046829155163,,,2.862599213212049
AND,2018,4.123505976095617,0.33615537848605576,1.984838424081452,2.201195219123506,1.2848605577689243,2.870185922974768,3.7782204515272246,1.7596281540504646,2.539840637450199,2.6510624169986716,3.9110225763612223,3.8911022576361223,4.589143426294821,4.497011952191235,4.8871181938911015,4.805776892430279,4.865537848605578,0.547808764940239,3.700199203187251,2.787184594953519,3.097609561752988,0.5179282868525896,0.5428286852589641,1.6666666666666667,1.0685828116107,1.4812179852020488,3.247011952191235,3.197211155378486,2.0977202301903497,1.25332005312085,1.2118193891102258,2.8508189464364766
ARG,2006,4.4304405647904845,0.25777877210488986,2.123129852066063,2.887052681691785,0.8919908374272032,3.128616992614905,3.653677125328892,1.7463093365444902,2.6924528850299514,2.639422594368852,3.2945492898647193,3.013865790691497,3.3128436275677133,4.705919688278416,4.897744725537472,4.885877530744547,4.86029861315699,0.4590187523073607,2.230984520594196,2.7713889779119723,1.136552493462204,1.2809563887851838,1.4123971576129712,2.7390775356132107,2.0972984413160654,,4.472476295573826,,4.109861247684105,,,
ARG,2013,4.032228003495481,0.3348306165920747,1.828054099476722,2.032350074700004,0.9923737908178906,3.1543703148176876,3.4347926191788574,1.7651177096185071,2.6051601679381324,2.5794553055993377,3.402336965184677,3.1451911233444663,3.8273243443101554,4.248363263496889,4.744029774193751,4.9505633369260185,4.860343409340393,0.5296559653197649,2.4411095564400385,2.7974192940244245,1.9839860961545295,1.1610088443306121,1.389784042123342,2.559173464612046,2.041669916435695,2.5926464624010417,4.166941752443208,4.669793878822943,3.6073583190909915,1.413568951275861,1.8173254537600587,3.072915472424418
ARG,2017,4.181511312238046,0.20471831227170606,2.0263425744381207,2.8231984545698547,1.0168195497376369,3.336227014024481,3.368316052646663,1.8958757829230408,2.728510931627535,2.6358707832752026,3.605759484479031,3.488592328252865,3.8796973322363293,4.287758309190869,4.713936279027895,4.862961218193528,4.793825992281154,0.31897073014588917,2.464930535088137,3.0149053416512026,1.4151373405265792,1.1975498081192877,1.2492149812880804,2.7604908592468824,2.0242365348101528,2.6798497659102427,4.222372574391396,4.66644295845283,3.5754490855342818,1.7034562554132542,2.1612787767126074,3.067606151544752
ARM,2011,4.402609530289196,0.08251027661297988,1.586099088844069,4.097411689865657,0.555676823756446,3.0601786115856666,3.2484054260370963,1.2806789408098092,1.108685901638783,1.5674148465116078,2.148798916735345,2.0146846653398005,1.937775109304631,3.932145584328352,4.685702564711001,3.409863949914967,4.078995236969251,0.05581778150588747,1.5738113384266925,2.4790825398920724,0.6652433728064578,1.9041252812851581,0.100676634015507,3.649550730035403,2.27605328068838,3.0719950324916865,4.703267671513917,4.843300957173697,4.166024996616255,3.7092109576001477,2.2156286772458436,3.2234863650473002
ARM,2021,4.4688157723314115,0.43557653488113024,1.6845314401840563,3.556984093192384,0.4250272259603515,2.997472456564864,3.329680455218657,1.4246043671494586,1.3839222472794215,1.769796485263284,2.601449516086597,2.311143069010159,2.059423982363343,4.272454184052187,4.82099814699721,3.5995200901133586,4.176748331822183,0.44744419415045333,1.9906919071961398,2.510904753178289,1.038216605733525,1.6717857848796858,0.6848589535343733,3.4629236816577054,1.8923538040606724,3.4264590612388917,4.525404448931087,4.7333990554364815,4.519103379022917,3.916993689965205,2.7622925472434456,3.561399113114686
AUS,2005,3.560746830470826,1.0496332205971968,1.8385252931484235,2.4284157682767087,2.301533371994517,3.14566672727948,3.9950591785879674,2.291993756070178,2.9074851602796654,2.9416708211770404,3.431830071820768,3.158295960611006,3.772899850627876,4.577340371413291,4.790925005510261,4.774109367957499,4.7195001668063705,1.1169986807000147,3.183065751917,2.978319046764782,2.351107264288132,1.047544893931993,1.52149565515635,2.173074879806191,1.36869990998772,,3.55738652851405,,2.8427251856198863,,,2.4185008962804178
AUS,2012,3.500058308174727,1.0367683880633618,1.6039880665281248,2.9537265234416177,2.5931501112593525,2.9860493664375554,3.9420708726989404,2.2202569072258815,2.7257368322062137,2.820755602506857,3.646298544175072,3.2833467763383255,4.170293307127454,4.460056862848491,4.8533115908624955,4.750973539860285,4.4726902931832555,1.2224656484449135,3.1050483825374484,3.03167382759371,1.8917766690965723,0.7590953225491577,1.4201780351134805,1.9104075339348385,1.2394125898866228,1.6354689069476602,3.1263619800595612,3.2823334034233866,2.2677011706900205,1.0127087025145602,1.2644186068028638,1.7000686837567522
AUS,2018,3.5030820634749777,1.0311750423665478,1.8413998045527706,2.372404159780755,2.449377608209497,3.080571964567864,3.901936670224501,2.294389822386911,2.9132918325495063,2.9867321673037526,3.983829725269116,3.8605530163859414,4.284327787585506,4.354299085334681,4.812707286337777,4.8073289492501665,4.55662849060802,1.1398022364229776,3.3914220186672033,2.6629026443659507,2.028293197868518,0.6614887463864905,1.3235564516891716,1.8366876463066073,1.1928873408010006,1.5814384506990624,2.9073363020357115,2.8476934385218033,1.96942540147365,1.004559705525953,1.2275400966626455,1.689210300317167
