country,1981-1984,1989-1993,1994-1998,1999-2004,2005-2009,2010-2014,2017-2022,Total
Albania,0,0,999,1000,0,0,0,1999
Algeria,0,0,0,1282,0,1200,0,2482
Andorra,0,0,0,0,1003,0,1004,2007
Azerbaijan,0,0,2002,0,0,1002,0,3004
Argentina,1005,1002,1079,1280,1002,1030,1003,7401
Australia,1228,0,2048,0,1421,1477,1813,7987
Bangladesh,0,0,1525,1500,0,0,1200,4225
Armenia,0,0,2000,0,0,1100,1223,4323
Bolivia,0,0,0,0,0,0,2067,2067
Bosnia Herzegovina,0,0,1200,1200,0,0,0,2400
Brazil,0,1782,1143,0,1500,1486,1762,7673
Bulgaria,0,0,1072,0,1001,0,0,2073
Myanmar,0,0,0,0,0,0,1200,1200
Belarus,0,1015,2092,0,0,1535,0,4642
Canada,1254,1730,0,1931,2164,0,4018,11097
Chile,0,1500,1000,1200,1000,1000,1000,6700
China,0,1000,1500,1000,1991,2300,3036,10827
Taiwan ROC,0,0,780,0,1227,1238,1223,4468
Colombia,0,0,6025,0,3025,1512,1520,12082
Croatia,0,0,1196,0,0,0,0,1196
Cyprus,0,0,0,0,1050,1000,1000,3050
Czech Rep.,0,924,1147,0,0,0,0,2071
Dominican Rep.,0,0,417,0,0,0,0,417
Ecuador,0,0,0,0,0,1202,1200,2402
El Salvador,0,0,1254,0,0,0,0,1254
Ethiopia,0,0,0,0,1500,0,1230,2730
Estonia,0,0,1021,0,0,1533,0,2554
Finland,1003,0,987,0,1014,0,0,3004
France,0,0,0,0,1001,0,0,1001
Georgia,0,0,2008,0,1500,1202,0,4710
Palestine,0,0,0,0,0,1000,0,1000
Germany,0,0,2026,0,2064,2046,1528,7664
Ghana,0,0,0,0,1534,1552,0,3086
Greece,0,0,0,0,0,0,1200,1200
Guatemala,0,0,0,0,1000,0,1229,2229
Haiti,0,0,0,0,0,1996,0,1996
Hong Kong SAR,0,0,0,0,1252,1000,2075,4327
Hungary,1464,0,650,0,1007,0,0,3121
India,0,2500,2040,2002,2001,4078,0,12621
Indonesia,0,0,0,1000,2015,0,3200,6215
Iran,0,0,0,2532,2667,0,1499,6698
Iraq,0,0,0,2325,2701,1200,1200,7426
Israel,0,0,0,1199,0,0,0,1199
Italy,0,0,0,0,1012,0,0,1012
Japan,1204,1011,1054,1362,1096,2443,1353,9523
Kazakhstan,0,0,0,0,0,1500,1276,2776
Jordan,0,0,0,1223,1200,1200,1203,4826
Kenya,0,0,0,0,0,0,1266,1266
South Korea,970,1251,1249,1200,1200,1200,1245,8315
Kuwait,0,0,0,0,0,1303,0,1303
Kyrgyzstan,0,0,0,1043,0,1500,1200,3743
Lebanon,0,0,0,0,0,1200,1200,2400
Latvia,0,0,1200,0,0,0,0,1200
Libya,0,0,0,0,0,2131,1196,3327
Lithuania,0,0,1009,0,0,0,0,1009
Macau SAR,0,0,0,0,0,0,1023,1023
Malaysia,0,0,0,0,1201,1300,1313,3814
Mali,0,0,0,0,1534,0,0,1534
Mexico,1837,1531,1510,1535,1560,2000,1741,11714
Mongolia,0,0,0,0,0,0,1638,1638
Moldova,0,0,984,1008,1046,0,0,3038
Montenegro,0,0,240,1056,0,0,0,1296
Morocco,0,0,0,1251,1200,1200,1200,4851
Netherlands,0,0,0,0,1050,1902,0,2952
New Zealand,0,0,1201,0,954,841,1057,4053
Nicaragua,0,0,0,0,0,0,1200,1200
Nigeria,0,1001,1996,2022,0,1759,1237,8015
Norway,0,0,1127,0,1025,0,0,2152
Pakistan,0,0,733,2000,0,1200,1995,5928
Peru,0,0,1211,1501,1500,1210,1400,6822
Philippines,0,0,1200,1200,0,1200,1200,4800
Poland,0,938,1153,0,1000,966,0,4057
Puerto Rico,0,0,1164,720,0,0,1127,3011
Qatar,0,0,0,0,0,1060,0,1060
Romania,0,0,1239,0,1776,1503,1257,5775
Russia,0,1961,2040,0,2033,2500,1810,10344
Rwanda,0,0,0,0,1507,1527,0,3034
Saudi Arabia,0,0,0,1502,0,0,0,1502
Serbia,0,0,1280,1200,1220,0,1046,4746
Singapore,0,0,0,1512,0,1972,2012,5496
Slovakia,0,466,1095,0,0,0,0,1561
Vietnam,0,0,0,1000,1495,0,1200,3695
Slovenia,0,0,1007,0,1037,1069,0,3113
South Africa,1596,2736,2935,3000,2988,3531,0,16786
Zimbabwe,0,0,0,1002,0,1499,1215,3716
Spain,0,1510,1211,1209,1200,1189,0,6319
Sweden,954,1047,1009,1014,1003,1206,0,6233
Switzerland,0,1400,1212,0,1241,0,0,3853
Tajikistan,0,0,0,0,0,0,1200,1200
Thailand,0,0,0,0,1534,1200,1500,4234
Trinidad and Tobago,0,0,0,0,1002,999,0,2001
Tunisia,0,0,0,0,0,1205,1208,2413
Turkey,0,1030,1907,3401,1346,1605,2415,11704
Uganda,0,0,0,1002,0,0,0,1002
Ukraine,0,0,2811,0,1000,1500,1289,6600
North Macedonia,0,0,995,1055,0,0,0,2050
Egypt,0,0,0,3000,3051,1523,1200,8774
Great Britain,0,0,1093,0,1041,0,0,2134
Tanzania,0,0,0,1171,0,0,0,1171
United States,2325,1839,1542,1200,1249,2232,2596,12983
Burkina Faso,0,0,0,0,1534,0,0,1534
Uruguay,0,0,1000,0,1000,1000,0,3000
Uzbekistan,0,0,0,0,0,1500,0,1500
Venezuela,0,0,1200,1200,0,0,1190,3590
Yemen,0,0,0,0,0,1000,0,1000
Zambia,0,0,0,0,1500,0,0,1500
TOTAL,14840,29174,77818,60040,83975,89564,84638,440049
,,,,,,,,
,,,,,,,,
